group,wh_word,item,q_type,sound_file,a_type,context,dice,interlocutor,tu_dices,target,pregunta,option1,option2,option3,answer
A,quién,1,ISQ,f_quien_1_ISQ,unique referent,"Acabas de enterarte de que Liliana, tu compañera de clase, es la única que no pasó el examen final de un curso. Ni tú ni tus compañeros de clase quieren llamarle a Liliana para darle la mala noticia. Al día siguiente tu amiga María te dice que Liliana se enteró de que no pasó el curso. A ti te sorprende que se haya enterado, pues nadie en el salón quería llamarla.",María dice:,"""Qué extraño que Liliana se haya enterado de su calificación.""",Tú dices:,"""Sí, es lo mismo que pensé. ¿Quién llamaría a Liliana?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber quién llamaría a Liliana.,Crees que nadie llamaría a Liliana.,Ya sabes quién llamaría a Liliana.,option1
B,quién,1,RQ-,m_quien_1_RQ-,domain complement,"Tú y tus amigos están por salir. Liliana es una amiga de Miguel, pero a ninguno de tus otros amigos le cae bien. Tu amigo Miguel se pregunta si Liliana vendría con ustedes pero ustedes dos ya saben que a nadie le cae bien y nadie la llamaría para salir.",Miguel dice:,"""¿Va a venir Liliana también?""",Tú dices:,"""¡Me sorprendería mucho! ¿Quién llamaría a Liliana?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber quién llamaría a Liliana.,Crees que nadie llamaría a Liliana.,Ya sabes quién llamaría a Liliana.,option2
C,quién,1,RQ+,m_quien_1_RQplus,unique referent,"Tú y tus amigos planean ir al Festival Internacional de Cine de Toronto. Quieres ir sólo con tus mejores amigos: Dante y Miguel. De repente, aparece Liliana y tú te quedas sorprendido porque estás seguro de que no la invitaste. Todo el mundo sabe que Miguel adora a Liliana y que sigue llamándola e invitándola a salir todo el tiempo. Parece que Miguel fue quien invitó a Liliana, aunque habían decidido que sólo tú, Miguel y Dante iban a ir al Festival.",Dante dice:,"""Me pregunto quién le dijo de nuestros planes.""",Tú dices:,"""Me parece muy obvio: ¿Quién llamaría a Liliana?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber quién llamaría a Liliana.,Crees que nadie llamaría a Liliana.,Ya sabes quién llamaría a Liliana.,option3
C,quién,2,ISQ,f_quien_2_ISQ,mention-some,"Estás organizando una fiesta con dos amigos y hay una lista de 91 invitados. Ustedes dividen la lista y cada uno tiene el encargo de invitar 30 personas. Hacen tres listas con los nombres que les corresponden a cada uno, pero olvidan incluir a la última persona: Elena. El día de la fiesta, se dan cuenta de que olvidaron invitarla, pero les sorprende cuando la ven llegar al evento una hora después.",Tu amiga dice:,"""Qué bueno que Elena está aquí, ¿no?""",Tú dices:,"""Por supuesto! Pero no sé cómo es que está aquí si olvidamos invitarla. ¿Quién invitaría a Elena?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber quién la invitaría a Elena.,Crees que nadie la invitaría a Elena.,Ya sabes quién es la persona que la invitaría a Elena.,option1
A,quién,2,RQ-,f_quien_2_RQ-,domain complement,"Elena, tu compañera de clase, no le cae bien a nadie. Tu clase tiene un grupo en Facebook al cual se tiene acceso sólo con invitación. Cuando Laura se da cuenta que Elena no es parte del grupo, tú le sugieres que es porque nadie la invitaría.",Laura dice:,"""No veo a Elena en el grupo.""",Tú dices:,"""¡Claro! ¿Quién invitaría a Elena?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber quién la invitaría a Elena.,Crees que nadie la invitaría a Elena.,Ya sabes quién es la persona que la invitaría a Elena.,option2
B,quién,2,RQ+,m_quien_2_RQplus,unique referent,"Tú y tu hermano organizan una ida al cine e invitan a todos tus primos, pero se les olvida invitar a tu prima Elena. El día de la función, ves que Elena llega a la sala de cine y los saluda. Tu hermano te pregunta quién habría invitado a Elena si ustedes lo habían olvidado. Todos saben que Elena y tu hermana son muy cercanas, le sugieres que es obvio quién la invitó.",Tu hermano dice:,"""Me pregunto quién le dijo a Elena del plan.""",Tú dices:,"""Me parece muy obvio: ¿Quién la invitaría a Elena?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber quién la invitaría a Elena.,Crees que nadie la invitaría a Elena.,Ya sabes quién es la persona que la invitaría a Elena.,option3
B,quién,3,ISQ,f_quien_3_ISQ,unique referent,"La sociedad de alumnos de tu universidad va a tener elecciones para que cada departamento tenga un representante. Tú y Juanita hacen un sondeo y juntan firmas de apoyo para cada candidato. Al final, ves que Emilia recibe el apoyo de una sola persona pero no distingues qué nombre está escrito.",Juanita dice:,"""Sólo una persona firmó por Emilia.""",Tú dices:,"""No se ve la firma. ¿Quién apoyaría a Emilia?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber quién apoyaría a Emilia.,Crees que nadie apoyaría a Emilia.,Ya sabes quién es la persona que apoyaría a Emilia.,option1
C,quién,3,RQ-,m_quien_3_RQ-,domain complement,"Emilia, una chica de tu departamento, es perezosa, mezquina, y grosera. La sociedad de alumnos en tu universidad tiene que elegir un nuevo presidente y Emilia quiere ser una candidata. Un compañero tuyo te da la noticia y tú le sugieres que nadie apoyaría a Emilia.",Tu compañero dice:,"""Oye, ¿sabías que Emilia quiere ser candidata?""",Tú dices:,"""¡Qué raro! ¿Quién apoyaría a Emilia?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber quién apoyaría a Emilia.,Crees que nadie apoyaría a Emilia.,Ya sabes quién es la persona que apoyaría a Emilia.,option2
A,quién,3,RQ+,f_quien_3_RQplus,unique referent,La sociedad de alumnos de tu universidad tiene que elegir un nuevo presidente y Emilia quiere ser una candidata. El papá de Emilia es el Decano de la universidad. Manuela cree que es poco probable que Emilia gane pero tú crees que ella va a ganar porque la apoyaría su padre.,Manuela dice:,"""No creo que Emilia gane.""",Tú dices:,"""Es muy probable que gane. Piénsalo. ¿Quién apoyaría a Emilia?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber quién apoyaría a Emilia.,Crees que nadie apoyaría a Emilia.,Ya sabes quién es la persona que apoyaría a Emilia.,option3
A,quién,4,ISQ,m_quien_4_ISQ,unique referent,"Tú y tus amigos del departamento de antropología están en un proyecto juntos. Tienen que juntar narraciones de personas distintas. Tu amigo Juan dice que Amelia pasó el verano entero juntando narraciones y te sugiere que podrían usar esos datos para su proyecto de clase, pero alguien tendría que hablar con ella y ni tú ni Juan la conocen bien. Al día siguiente, recibes un correo con las narraciones, y tú no sabes quién le habría llamado a Amelia para pedirle el favor.",Juan dice:,"""Nos llegaron las narraciones. Viste el correo, ¿no?""",Tú dices:,"""Sí. Qué raro. ¿Quién le hablaría a Amelia?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber quién le hablaría a Amelia.,Crees que nadie le hablaría a Amelia.,Ya sabes quién es la persona que hablaría a Amelia.,option1
